"origin","relative_path","bytes","sha256","kind","disposition","repository_path_or_note"
"integrated Paper II source","PAPER/sections/06_fixed_direction_trichotomy.tex","2671","82c9ce6414098ebe117d2f5492ff3437b44a984519e6c1499162c626d667cf6b","source","included","paper/source/sections/06_fixed_direction_trichotomy.tex"
"integrated Paper II source","PAPER/sections/07_fixed_fibre_newton.tex","2681","91eb255339597836bf9c2bf73d0a88459f257288d8600bc168ec1f67ed1f201f","source","included","paper/source/sections/07_fixed_fibre_newton.tex"
"integrated Paper II source","PAPER/sections/08_monomial_pullback.tex","3277","d347b8005bc97f35c42153ee81678c4ddab385b783692ba76edb0c34bec9e9b7","source","included","paper/source/sections/08_monomial_pullback.tex"
"integrated Paper II source","PAPER/sections/09_arc1_moving_directions.tex","3822","fc15f562bf2d0e11e44ecf043fbc1b273c12df795b88092cf52749b46216f33d","source","included","paper/source/sections/09_arc1_moving_directions.tex"
"integrated Paper II source","PAPER/sections/10_mv1_universal_atlas.tex","4322","ba549b648daaca3393bb4a03a8174d2da6a2b1baa16bb3db926cb8b90a9cd245","source","included","paper/source/sections/10_mv1_universal_atlas.tex"
"integrated Paper II source","PAPER/sections/11_gf1_marked_section.tex","4499","37098e72b27b26eac6294738e85d1ea12863dca766e9dd8412ca99d27a3b0985","source","included","paper/source/sections/11_gf1_marked_section.tex"
"integrated Paper II source","PAPER/sections/12_counterexamples_scope.tex","4161","960226026da1ad60e827db45b9a384031eddb5efc1f20aa950e6c2cc31c5863d","source","included","paper/source/sections/12_counterexamples_scope.tex"
"integrated Paper II source","PAPER/sections/13_reproducibility_transparency.tex","5132","3601de0115b322333cf32b55f7b637eca2ff88efa1ae33268431dcef8933b6e8","source","included","paper/source/sections/13_reproducibility_transparency.tex"
"integrated Paper II source","PAPER/sections/14_conclusion.tex","2209","c42208b9ec34fac329143cab21a142d6c7415a6a7dafb423400d9ea750a5f76b","source","included","paper/source/sections/14_conclusion.tex"
"integrated Paper II source","PAPER_I_TO_PAPER_II_DEPENDENCY.md","1499","c7361a9fec0050fe7c6332f7acf0b58ec922c255ff01121b64059067eba71ef4","documentation","included as audit documentation","documentation/PAPER_I_TO_PAPER_II_DEPENDENCY.md"
"integrated Paper II source","PAPER_LOCK_DECISION.md","25","84c57587f4198ccc92d7aee71a6c3d1d6313a8102a5922d234bba42351de0613","documentation","included as audit documentation","documentation/PAPER_LOCK_DECISION.md"
"integrated Paper II source","PRIOR_ART_AUDIT.md","5663","92e4305f614e7750ef660c431dca0749fa5cff5bbcd9993252b96e92b05350af","documentation","included as audit documentation","documentation/PRIOR_ART_AUDIT.md"
"integrated Paper II source","PRIOR_ART_SEARCH_LOG.csv","2244","d4855bf55c01682f3c0aae694b44e7825867d37f75d79d5fa23e7b02d8df2a62","data","included as audit documentation","documentation/PRIOR_ART_SEARCH_LOG.csv"
"integrated Paper II source","R2_LEAN_RESTRUCTURE_AND_QA_REPORT.md","2135","95f4b9cc01a429b4b89704019c2e72d14f59fe926ad3f2799583bfb30036a9be","documentation","included as audit documentation","documentation/R2_LEAN_RESTRUCTURE_AND_QA_REPORT.md"
"integrated Paper II source","REFEREE_RISK_AND_RESPONSE_LEDGER.md","2335","adb47d1cd4547f8446e2482c9dfd99589a3ee01397b4727bf81af458d55eed9a","documentation","included as audit documentation","documentation/REFEREE_RISK_AND_RESPONSE_LEDGER.md"
"integrated Paper II source","RELEASE_GATE_AUDIT.md","2256","198c525a34cafaf7597132dac8485a95b94e4aa22f07bd45282f100469e05636","documentation","included as audit documentation","documentation/RELEASE_GATE_AUDIT.md"
"integrated Paper II source","RELEASE_NOTES.md","1343","ef16d5281a7cc6374eaac6c38e0a4405a9f3b23cb2570c94c97af0b3c9e4ece3","documentation","included as audit documentation","documentation/RELEASE_NOTES.md"
"integrated Paper II source","REPRODUCE.ps1","815","9a80b91ebf12f3e50964e7cc30182566da93c89d7e5bfe6663e08e8fa855d807","script","replaced with repository-adjusted reproduction script","REPRODUCE.ps1"
"integrated Paper II source","REPRODUCE.sh","407","a8aa1bec53315d829afbb4623acd6c2c0ea71a27dead7b2ecf77d379289790e2","script","replaced with repository-adjusted reproduction script","REPRODUCE.sh"
"integrated Paper II source","REPRODUCIBILITY_PROTOCOL.md","2166","c1a95bb6aea081bd16e6b6e0b99c0ab3a52acbb549df5de2a347f7a95b9a7c45","documentation","included as audit documentation","documentation/REPRODUCIBILITY_PROTOCOL.md"
"integrated Paper II source","SCOPE_WARNING_LEDGER.csv","1222","43e93016d3635980c341d6499e155414c9bbcc503526635a13a58fb8ec13f878","data","included as audit documentation","documentation/SCOPE_WARNING_LEDGER.csv"
"integrated Paper II source","SOURCE_AVAILABILITY_LEDGER.md","2309","61faaa8da99215167d0621816d50696c470a23d181eca88e9f4f5de1e6985cf2","documentation","included as audit documentation","documentation/SOURCE_AVAILABILITY_LEDGER.md"
"integrated Paper II source","SOURCE_SCAN_REPORT.md","1871","7a26cc7de2b0451a21eccaeb42187673bdd8f02e0e11bff84150a59d5bae40bf","documentation","included as audit documentation","documentation/SOURCE_SCAN_REPORT.md"
"integrated Paper II source","START_HERE.md","1960","fd88d1e60dc5816df98d5fb6b9ab4443d5f74559cc8631dae008659574e105a0","documentation","included as audit documentation","documentation/START_HERE.md"
"integrated Paper II source","SUPPLEMENT/CLAIM_CODE_EVIDENCE_MAP.csv","1084","b5f1ec8b87390a2a3d843d6a159486900e96c11d3dae36714bf5a83ba4bc0523","data","included","documentation/SUPPLEMENT/CLAIM_CODE_EVIDENCE_MAP.csv"
"integrated Paper II source","SUPPLEMENT/FIXED_WEIGHT_NOETHERIAN_PROOF.md","920","c0e9fdf35aa14bcb927cff9075dd0a9fa6ce9b0e38c2b2ee46267ca9b0abbc19","documentation","included","documentation/SUPPLEMENT/FIXED_WEIGHT_NOETHERIAN_PROOF.md"
"integrated Paper II source","SUPPLEMENT/RANDOM_CENSUS_METHODOLOGY.md","599","0559efabc9aa47326f43f60f580d1c16d4f30df4a2a27647f4637dc65a58120f","documentation","included","documentation/SUPPLEMENT/RANDOM_CENSUS_METHODOLOGY.md"
"integrated Paper II source","SYMBOL_COLLISION_LEDGER.md","1240","a2679566f3ed22395ccec8341efe5ed2bc679ef0feef2b19009334edd65f4579","documentation","included as audit documentation","documentation/SYMBOL_COLLISION_LEDGER.md"
"integrated Paper II source","TEXT_REUSE_AND_SELF_CITATION_LEDGER.md","1105","a43edaec91f84f9c00c8cbe0fd3a03bc54b139cffaba827bdbdefaed7e5c042d","documentation","included as audit documentation","documentation/TEXT_REUSE_AND_SELF_CITATION_LEDGER.md"
"integrated Paper II source","THEOREM_SOURCE_MAP.csv","1441","943152b6f1a6693fafbc6f00d13bbc45e5c12fb5a802fd6ceedcf4437a4bcd14","data","included as audit documentation","documentation/THEOREM_SOURCE_MAP.csv"
"integrated Paper II source","TITLE_AND_ABSTRACT_DECISION.md","1081","559b01cb50b9aede19cc358cfbf27d7eeb52202d804ee3ef8be1adc5f637b650","documentation","included as audit documentation","documentation/TITLE_AND_ABSTRACT_DECISION.md"
"integrated Paper II source","UK_ENGLISH_STYLE_REPORT.md","621","4b8061374690bfc33c5520eca69359824603b26e17855c6c56c90332767f3137","documentation","included as audit documentation","documentation/UK_ENGLISH_STYLE_REPORT.md"
"integrated Paper II source","UNCITED_AND_UNUSED_REFERENCE_REPORT.md","510","e3438af3f5f2e4bcedbf2ca3364202d0a4ed82e5003e4fe462d6ab93d72f7889","documentation","included as audit documentation","documentation/UNCITED_AND_UNUSED_REFERENCE_REPORT.md"
"integrated Paper II source","UNRESOLVED_GAPS.md","914","5e6ee295f7a987b0caa832507ed06296d251b45b5eb3eb72c1133449b077b135","documentation","included as audit documentation","documentation/UNRESOLVED_GAPS.md"
"PAPER 2.zip entry","PAPER/abstract.tex","1407","d2a2b74a4de9847666e7fb60851517a6315b850dfc861fde7bf844671a8f21ee","source","included via byte-identical integrated source","paper/source/abstract.tex"
"PAPER 2.zip entry","PAPER/appendices/A_denominator.tex","949","893fb064703824c40af82d9c4ad8dff22d732965f975b0a5b322ab5cb83a612a","source","included via byte-identical integrated source","paper/source/appendices/A_denominator.tex"
"PAPER 2.zip entry","PAPER/appendices/B_endpoint_pb1.tex","1846","8040680f9e70997769f5b34de5c311f81e1e51224f230a95367a54f97b07b573","source","included via byte-identical integrated source","paper/source/appendices/B_endpoint_pb1.tex"
"PAPER 2.zip entry","PAPER/appendices/C_arc1_tables.tex","1415","d07476741ef7815a319486a00857b82e46e74652c858a4f56be48d5deee26141","source","included via byte-identical integrated source","paper/source/appendices/C_arc1_tables.tex"
"PAPER 2.zip entry","PAPER/appendices/D_mv1_gf1_atlases.tex","996","3f61ff3fa7b216482c4115c2d02875964b6d3de4cd29e4fa80cb266c1030483c","source","included via byte-identical integrated source","paper/source/appendices/D_mv1_gf1_atlases.tex"
"PAPER 2.zip entry","PAPER/appendices/E_rees_marked.tex","1546","894043b5d0c575bc9f163571ba34ff77e55b1c2f83e75105ba26d08358110120","source","included via byte-identical integrated source","paper/source/appendices/E_rees_marked.tex"
"PAPER 2.zip entry","PAPER/appendices/F_reproducibility.tex","3528","6ddce6738386fbb902d9d440156538e3d8674f660ec6e4d988fa6930f2b96ad2","source","included via byte-identical integrated source","paper/source/appendices/F_reproducibility.tex"
"PAPER 2.zip entry","PAPER/main.aux","26770","5f77dcc6584bccaca1487a9f60798e65cc6b833dc4da9cc33bfea771fe5ca327","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/main.bbl","43890","d085aa6116ca825b831edb24e0b556e379c3310ab0bf08fbfd63b97891ab52b1","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/main.bcf","110761","b9088171c99a19eda3d32dff744fca1eb7bb4e4ba107eb7c261ee116daba572f","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/main.bcf-SAVE-ERROR","107587","3baed71934fc5ade60774b7cab33d185ab25ef8d162e4f0b3b27442be7131914","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/main.blg","1061","c7578438d5368ee7f9161931b907dd032e1b4d520a4c80c52043b80d4dfa7a0f","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/main.fdb_latexmk","35513","9e827e380c17dd28d5762e0eff354b7b8ac54e03ec59244de7bfc4a1e7cc3ef6","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/main.fls","39070","8e7c433f095b04311552baf0b76f48a5ade617549f3ce0db91e3d49161f53795","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/main.log","58312","0332c8f0fa1f65318ad0f1a4324b0965bb0fad3d46cb55c7299564bc635713bf","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/main.out","9253","3e7e3fe2ec92fc091ca566d5b70e2b48887a7908ccbbd9c97dced87e3041e5e0","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/main.pdf","561102","ceb7e62cb3710cd859289e23e6a968e1c0144029c1be77eb67b00986c9f68889","PDF/figure artifact","superseded by rebuilt R2.1 PDF","paper/M3A_KERNEL_CHECKED_OPENING_THEORY_R2.pdf"
"PAPER 2.zip entry","PAPER/main.run.xml","2342","1879c4e4e99d5941769eb7620fdbbcdb94bc6ee98b3c4015b2bcac79223d6f4b","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/main.tex","3538","7ddf105334c59af6a60c6f25e2df58ef87bf7d809c92a30e6bf2ca852e987453","source","included via byte-identical integrated source","paper/source/main.tex"
"PAPER 2.zip entry","PAPER/main.toc","4176","929172dd2223805bb06d2ae05a7d16069b489a8e6340453996147d7aa1e99426","generated build artifact","excluded generated TeX artifact","not committed"
"PAPER 2.zip entry","PAPER/references.bib","7542","e092a10b620f36d28fd8fdb9313fd9703eda028c8aa9b12559ff0ac75b151df5","source","included via byte-identical integrated source","paper/source/references.bib"
"PAPER 2.zip entry","PAPER/sections/01_introduction.tex","5922","50b3c043ce0b2c0a7d28c984ccbef0fa74a759c2de95c2c1f4687cd237a88a70","source","included via byte-identical integrated source","paper/source/sections/01_introduction.tex"
"PAPER 2.zip entry","PAPER/sections/02_formal_verification.tex","4298","cf4d1c7b2a9cf0d4a0a026a4586d0202d5b6f6860a4db1c5d82d0a104733f8c2","source","included via byte-identical integrated source","paper/source/sections/02_formal_verification.tex"
"PAPER 2.zip entry","PAPER/sections/02_model_and_channel.tex","3417","d1d42ce672a5a2b7973d0dd53c669eebaa76b490679d5df7d5713a736fda02de","source","included via byte-identical integrated source","paper/source/sections/02_model_and_channel.tex"
"PAPER 2.zip entry","PAPER/sections/03_exact_numerator_and_ideal.tex","3278","ac21dd57ab434be4a12450213d5b511e2cee5353d44addeeda326928a02d5239","source","included via byte-identical integrated source","paper/source/sections/03_exact_numerator_and_ideal.tex"
"PAPER 2.zip entry","PAPER/sections/04_syzygy_dark_planes_certificates.tex","4101","96a46f9e78913b10ed003a7e496a1180984fc57a32102811a220a63a5f8b7c38","source","included via byte-identical integrated source","paper/source/sections/04_syzygy_dark_planes_certificates.tex"
"PAPER 2.zip entry","PAPER/sections/05_endpoint_support.tex","3605","17c04e13f7e70b8ec86e6cccc47c941d7343b7f17fe538ec95d14b3980422c47","source","included via byte-identical integrated source","paper/source/sections/05_endpoint_support.tex"
"PAPER 2.zip entry","PAPER/sections/06_fixed_direction_trichotomy.tex","2671","82c9ce6414098ebe117d2f5492ff3437b44a984519e6c1499162c626d667cf6b","source","included via byte-identical integrated source","paper/source/sections/06_fixed_direction_trichotomy.tex"
"PAPER 2.zip entry","PAPER/sections/07_fixed_fibre_newton.tex","2681","91eb255339597836bf9c2bf73d0a88459f257288d8600bc168ec1f67ed1f201f","source","included via byte-identical integrated source","paper/source/sections/07_fixed_fibre_newton.tex"
"PAPER 2.zip entry","PAPER/sections/08_monomial_pullback.tex","3277","d347b8005bc97f35c42153ee81678c4ddab385b783692ba76edb0c34bec9e9b7","source","included via byte-identical integrated source","paper/source/sections/08_monomial_pullback.tex"
"PAPER 2.zip entry","PAPER/sections/09_arc1_moving_directions.tex","3822","fc15f562bf2d0e11e44ecf043fbc1b273c12df795b88092cf52749b46216f33d","source","included via byte-identical integrated source","paper/source/sections/09_arc1_moving_directions.tex"
"PAPER 2.zip entry","PAPER/sections/10_mv1_universal_atlas.tex","4322","ba549b648daaca3393bb4a03a8174d2da6a2b1baa16bb3db926cb8b90a9cd245","source","included via byte-identical integrated source","paper/source/sections/10_mv1_universal_atlas.tex"
"PAPER 2.zip entry","PAPER/sections/11_gf1_marked_section.tex","4499","37098e72b27b26eac6294738e85d1ea12863dca766e9dd8412ca99d27a3b0985","source","included via byte-identical integrated source","paper/source/sections/11_gf1_marked_section.tex"
"PAPER 2.zip entry","PAPER/sections/12_counterexamples_scope.tex","4161","960226026da1ad60e827db45b9a384031eddb5efc1f20aa950e6c2cc31c5863d","source","included via byte-identical integrated source","paper/source/sections/12_counterexamples_scope.tex"
"PAPER 2.zip entry","PAPER/sections/13_reproducibility_transparency.tex","5132","3601de0115b322333cf32b55f7b637eca2ff88efa1ae33268431dcef8933b6e8","source","included via byte-identical integrated source","paper/source/sections/13_reproducibility_transparency.tex"
"PAPER 2.zip entry","PAPER/sections/14_conclusion.tex","2209","c42208b9ec34fac329143cab21a142d6c7415a6a7dafb423400d9ea750a5f76b","source","included via byte-identical integrated source","paper/source/sections/14_conclusion.tex"
"user-supplied archive","PAPER 2.zip","653526","f50753598c75efe3e4770f35bc91ab5417747b17aa77d1a0de8b2dde02e17064","other","audited; archive not committed","contents inventoried individually below"
